Datetime,Adj Close,Lower Bound,Upper Bound
2023-03-20T15:55:00Z,27724.55078125,NA,NA
2023-03-20T16:00:00Z,27774.724609375,NA,NA
2023-03-20T16:05:00Z,27704.748046875,NA,NA
2023-03-20T16:10:00Z,27601.4453125,NA,NA
2023-03-20T16:15:00Z,27683.75,NA,NA
2023-03-20T16:20:00Z,27605.21875,NA,NA
2023-03-20T16:25:00Z,27630.23828125,NA,NA
2023-03-20T16:30:00Z,27714.6796875,NA,NA
2023-03-20T16:35:00Z,27659.626953125,NA,NA
2023-03-20T16:40:00Z,27639.349609375,NA,NA
2023-03-20T16:45:00Z,27652.234375,NA,NA
2023-03-20T16:50:00Z,27666.904296875,NA,NA
2023-03-20T16:55:00Z,27631.197265625,NA,NA
2023-03-20T17:00:00Z,27625.66015625,NA,NA
2023-03-20T17:05:00Z,27716.107421875,NA,NA
2023-03-20T17:10:00Z,27745.509765625,NA,NA
2023-03-20T17:15:00Z,27742.66015625,NA,NA
2023-03-20T17:20:00Z,27717.107421875,NA,NA
2023-03-20T17:25:00Z,27730.78125,NA,NA
2023-03-20T17:30:00Z,27764.701171875,NA,NA
2023-03-20T17:35:00Z,27715.267578125,NA,NA
2023-03-20T17:40:00Z,27746.64453125,NA,NA
2023-03-20T17:45:00Z,27780.48046875,NA,NA
2023-03-20T17:50:00Z,27755.009765625,NA,NA
2023-03-20T17:55:00Z,27689.462890625,NA,NA
2023-03-20T18:00:00Z,27705.494140625,NA,NA
2023-03-20T18:05:00Z,27724.92578125,NA,NA
2023-03-20T18:10:00Z,27737.22265625,NA,NA
2023-03-20T18:15:00Z,27797.623046875,NA,NA
2023-03-20T18:20:00Z,27780.79296875,NA,NA
2023-03-20T18:25:00Z,27831.34375,NA,NA
2023-03-20T18:30:00Z,27948.2578125,NA,NA
2023-03-20T18:35:00Z,27945.0078125,NA,NA
2023-03-20T18:40:00Z,28011.875,NA,NA
2023-03-20T18:45:00Z,27995.220703125,NA,NA
2023-03-20T18:50:00Z,28017.314453125,NA,NA
2023-03-20T18:55:00Z,28016.349609375,NA,NA
2023-03-20T19:00:00Z,27986.115234375,NA,NA
2023-03-20T19:05:00Z,27966.21484375,NA,NA
2023-03-20T19:10:00Z,27925.251953125,NA,NA
2023-03-20T19:15:00Z,27830.77734375,NA,NA
2023-03-20T19:20:00Z,27757.099609375,NA,NA
2023-03-20T19:25:00Z,27756.119140625,NA,NA
2023-03-20T19:30:00Z,27808.57421875,NA,NA
2023-03-20T19:35:00Z,27805.52734375,NA,NA
2023-03-20T19:40:00Z,27833.10546875,NA,NA
2023-03-20T19:45:00Z,27850.697265625,NA,NA
2023-03-20T19:50:00Z,27873.33984375,NA,NA
2023-03-20T19:55:00Z,27873.33984375,27703.46294243461,28043.21674506539
2023-03-20T20:00:00Z,27873.33984375,27703.46294243461,28043.21674506539
2023-03-20T20:05:00Z,27873.33984375,27703.46294243461,28043.21674506539
2023-03-20T20:10:00Z,27873.33984375,27703.46294243461,28043.21674506539
2023-03-20T20:15:00Z,27873.33984375,27703.46294243461,28043.21674506539
2023-03-20T20:20:00Z,27873.33984375,27703.46294243461,28043.21674506539
